path,sentence
/INTER/16144517608610/wav/spk_id_10294_16144517950804.wav,тільки за минулий рік
/INTER/16144517608610/wav/spk_id_10294_16144517952384.wav,звільнили
/INTER/16144517608610/wav/spk_id_10294_16144517953825.wav,майже п'ять тисяч своїх працівників повідомили
/INTER/16144517608610/wav/spk_id_10294_16144517955438.wav,найбільше людей втратили роботу
/INTER/16144517608610/wav/spk_id_10294_16144517957010.wav,скорочення
/INTER/16144517608610/wav/spk_id_10294_16144517958439.wav,штатів цього
/INTER/16144517608610/wav/spk_id_10143_16144517960109.wav,року за останніми даними у банківській сфері наразі задіяно близько ста двадцяти восьми тисяч українців
/INTER/16144517608610/wav/spk_id_10143_16144517961576.wav,набувають
/INTER/16144517608610/wav/spk_id_10143_16144517963136.wav,серед українців
/INTER/16144517608610/wav/spk_id_10143_16144517964686.wav,експерти пояснюють це тим що вартість такої нерухомості
/INTER/16144517608610/wav/spk_id_10143_16144517966316.wav,ніж квартири
/INTER/16144517608610/wav/spk_id_10143_16144517967976.wav,близько двохсот до трьохсот тисяч гривень на
/INTER/16144517608610/wav/spk_id_10143_16144517969436.wav,сайтах уже виставляють на продаж
/INTER/16144517608610/wav/spk_id_10952_16144517970951.wav,помешкання площею від шести квадратних метрів вони три з половиною тисячі доларів однак
/INTER/16144517608610/wav/spk_id_10952_16144517972662.wav,хоча й на
/INTER/16144517608610/wav/spk_id_10952_16144517974361.wav,свій покупець
/INTER/16144517608610/wav/spk_id_10952_16144517975808.wav,переважна більшість
/INTER/16144517608610/wav/spk_id_9475_16144517977438.wav,вважає за краще орендувати оселю ніж жити в такій тісноті зарплату до п'яти тисяч гривень
/INTER/16144517608610/wav/spk_id_9475_16144517979097.wav,лише сім відсотків населення україни а дохід у п'ять разів більший
/INTER/16144517608610/wav/spk_id_9475_16144517980558.wav,кожен десятий українець переважна більшість наших
/INTER/16144517608610/wav/spk_id_9475_16144517982154.wav,від десяти
/INTER/16144517608610/wav/spk_id_179711_16144517983937.wav,до двадцяти п'яти тисяч гривень і ще тридцять відсотків одержують до десяти тисяч гривень на місяць про це повідомили в державній службі стати
/INTER/16144517608610/wav/spk_id_9882_16144517985612.wav,сьогодні за
/INTER/16144517608610/wav/spk_id_9882_16144517987152.wav,курсом національного банку долар коштує двадцять сім
/INTER/16144517608610/wav/spk_id_9882_16144517988872.wav,вісімдесят п'ять копійок євро тридцять три
/INTER/16144517608610/wav/spk_id_9882_16144517990348.wav,шістдесят п'ять копійок обмінних пунктах американську валюту продають у середньому по двадцять сім дев'яносто шість
/INTER/16144517608610/wav/spk_id_9882_16144517992044.wav,по тридцять три сімдесят
/INTER/16144517608610/wav/spk_id_10085_16144517993834.wav,сто чотири
